source_id,ra,dec,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_g_mean_flux,phot_bp_mean_mag,phot_bp_mean_flux,phot_rp_mean_mag,phot_rp_mean_flux,bp_rp,phot_variable_flag,classprob_dsc_combmod_galaxy,thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag,flux2,flux2_err,ra_p,dec_p,ang_dist,dec_res,ra_res,new_mag,filename
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.523170471191406,459,444,802,825,526,551,813.3650272341193,539.2885890280099,9.56796536845519,11.07407243941239,-0.08587037014135035,7.679532682663188e-06,8.789172032974817e-06,-1.4104388604517212e-07,3.3285059928894043,3.092423915863037,-1.5140267610549927,0.104522705078125,0.09030730277299881,0.0016209760215133429,488625.0625,489057.09375,10608.076171875,11617.560546875,813,540,813,540,0,486346.943644104,0.0,286.54295725398936,8.221450185224649,3.425779573262844e-05,-0.19789684886646342,0.1176223913565991,10.266677111889273,7-11-26_R_Aql_-001120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.558773040771484,11,4,801,803,513,516,802.0709163332907,514.2770386200061,0.5066973342657501,0.6786758696801503,0.04531584540955658,0.0002192784883876833,0.00040052675164197713,5.2505396885733506e-05,0.8305936455726624,0.7039086818695068,1.3282917737960815,1.985420823097229,1.482309103012085,-0.2651369571685791,1916.0452880859375,2034.0511474609375,401.1271667480469,1278.210205078125,802,514,802,514,0,1714.0189239501954,0.0,286.5443330327597,8.225882594695204,0.0014681104242413312,-16.1545709428637,-4.396362785320943,16.41356637324823,7-11-26_R_Aql_-002120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.6136360168457,458,440,803,826,524,550,814.3247265685228,537.9143823208534,9.60681603901321,10.171693856806456,-0.012796305532987162,7.648749829241914e-06,8.542865688321214e-06,1.7940569020630467e-07,3.189354658126831,3.0994396209716797,-1.5481585264205933,0.10409293323755264,0.09831220656633377,0.00026190426433458924,492535.8125,492887.1875,11518.400390625,12824.86328125,814,538,814,538,0,490427.5156900022,0.0,286.54294997404537,8.221431599325133,4.206778908155684e-05,-0.13098761060774677,0.14150817877342434,10.353881878268457,7-11-26_R_Aql_-003120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.235267639160156,482,465,801,826,525,549,813.4086798550429,537.7307833724536,12.179193153559169,9.859428515549723,-0.1544318120275534,9.227732089564782e-06,8.502981166229434e-06,-5.168133957633096e-08,3.4913363456726074,3.1383423805236816,-0.0661829337477684,0.08212355524301529,0.10144590586423874,0.0025726621970534325,492428.59375,492854.53125,9940.7490234375,10877.5888671875,813,538,813,538,0,492799.58290679945,0.0,286.54294120421923,8.221442798259016,5.051282215617903e-05,-0.17130377258780527,0.17028232912583008,10.40297704857647,7-11-26_R_Aql_-004120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.3466796875,476,461,803,827,524,550,815.012467981177,537.6147884323345,10.185713677731258,10.556013358196907,0.14674047602863993,8.096351143270502e-06,9.099574754309537e-06,2.282852347752094e-07,3.2568562030792236,3.1834909915924072,1.2357054948806763,0.09819638729095459,0.09475170820951462,-0.002730080857872963,496033.8125,496467.0,11585.203125,12943.6171875,815,538,815,538,0,494817.2530670169,0.0,286.5429746939591,8.22142297634291,1.760535099037952e-05,-0.09994487460360801,0.060401153092170715,10.286846132313512,7-11-26_R_Aql_-005120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.2941780090332,493,477,802,826,524,549,813.9271942870234,537.368288144483,11.605353046026408,10.717006844675097,-0.08966365555318134,8.872142548199955e-06,9.51549340920927e-06,7.670556419892023e-08,3.407977819442749,3.272315263748169,-0.09959480166435242,0.08617269992828369,0.09331566840410233,0.0014419249491766095,495366.09375,495792.78125,9546.5966796875,10208.501953125,814,538,814,538,0,493227.5946313475,0.0,286.542961425227,8.221442081393791,3.0320692133045668e-05,-0.16872305777795304,0.1039363937353437,10.563509911843544,7-11-26_R_Aql_-006120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.14030838012695,498,484,802,827,523,548,814.6392418733287,536.6988897034264,10.44723146264036,11.288728884758825,-0.055476442648483726,8.94872927241824e-06,9.902491749411039e-06,-2.274212160869548e-08,3.360412359237671,3.231654405593872,-1.5052485466003418,0.09572163969278336,0.0885862410068512,0.0009408137993887067,493900.84375,494353.71875,11506.3349609375,13053.24609375,815,537,815,537,0,493261.3954730225,0.0,286.5429511329239,8.221462888211763,4.0012020519952785e-05,-0.24362760247598203,0.1377058519058937,10.198864035564426,7-11-26_R_Aql_-007120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.12586975097656,491,470,802,826,523,549,813.8900436444414,537.2821263593709,10.301737528806086,10.846791254585895,-0.25794569117616106,8.630926504171978e-06,9.621537828329578e-06,-3.438674446154008e-07,3.3090038299560547,3.1935908794403076,-1.1918373107910156,0.09712883830070496,0.0922480896115303,0.004619608633220196,494102.6875,494502.5,11725.08984375,13182.6337890625,814,538,814,538,0,491858.7400021364,0.0,286.5429493111941,8.221463831365389,4.180595118441488e-05,-0.24702295553069575,0.14368302033015426,10.095819994151297,7-11-26_R_Aql_-008120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.129859924316406,490,470,803,826,524,549,814.2473608213526,537.8893597716427,10.389378611707983,10.596909962975872,-0.3960832089269104,8.54022285892395e-06,9.629565762161609e-06,-2.7166539416931423e-07,3.301907777786255,3.175483226776123,-0.9135088324546814,0.09638950228691101,0.094501793384552,0.007205546367913485,495495.875,495867.90625,11437.4091796875,12874.310546875,815,538,815,538,0,490918.0334866334,0.0,286.54296457819953,8.221456844983663,2.674559607385163e-05,-0.22187198131859986,0.09359136480905363,10.076326562418425,7-11-26_R_Aql_-009120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.15431594848633,497,481,803,828,524,550,815.2801806993128,538.0954129125287,11.344349114102869,10.963303596526742,-0.04633047079173025,8.84152376911055e-06,9.610662800855723e-06,1.3593309811982754e-07,3.3689615726470947,3.3102493286132812,-0.11927269399166107,0.08815113455057144,0.09121495485305786,0.0007450461853295565,497833.8125,498294.9375,10294.607421875,11329.72265625,816,539,816,539,0,497442.1359817505,0.0,286.54294981306094,8.22145895396973,4.144417499674091e-05,-0.2294643311586242,0.14203637511964642,10.248583432770936,7-11-26_R_Aql_-010120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,48.11472702026367,503,481,803,829,524,550,815.7365805569673,538.2528069566873,11.974788478328037,10.936646738853483,-0.19218290504562674,9.180552370761509e-06,9.689973956945091e-06,5.329651526786567e-09,3.465432643890381,3.301849842071533,-0.17729727923870087,0.08353234082460403,0.09146150201559067,0.0029357238672673702,498705.875,499174.5,9254.5830078125,9960.1533203125,816,539,816,539,0,499622.2340081786,0.0,286.54296378216264,8.221424175026886,2.8478280569288472e-05,-0.10426013692068636,0.09620319367410503,10.309560837213155,7-11-26_R_Aql_-011120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,47.98873519897461,494,475,805,830,524,549,816.9145731422559,537.5878172145586,10.288728144033627,11.25206988592717,-0.4264909130966714,8.474743151114194e-06,9.37873163225872e-06,-3.5785211783598043e-07,3.3784241676330566,3.182302236557007,-1.2084399461746216,0.09734669327735901,0.08901239186525345,0.007379527669399977,501293.15625,501680.125,11518.912109375,13152.3203125,817,538,817,538,0,501056.3878643799,0.0,286.5429036540486,8.221441946696745,8.807196911675419e-05,-0.16823814841089302,0.29348594102143577,10.103904043701837,7-11-26_R_Aql_-012120s_c.new
4307450330692956928,286.54299310310773,8.221395213877742,3.3243389250862725,0.017011933028697968,8.485649108886719,-2.139585412259043,0.01740925945341587,-8.211480777268255,0.0185262318700552,10.953804016113281,782393.4140726869,11.220870018005371,443679.0209504773,10.522598266601562,489912.9775434941,0.6982717514038086,NOT_AVAILABLE,5.143320665201845e-13,47.948951721191406,515,489,804,829,524,549,815.8121199744804,537.4706313887339,12.268707430399587,10.945371642264973,-0.21166070226809097,9.31860370201216e-06,9.622810060561488e-06,1.202369182911183e-07,3.507383108139038,3.3033833503723145,-0.1548014134168625,0.08153538405895233,0.09139330685138702,0.0031534491572529078,505638.4375,506052.25,9767.076171875,10592.1259765625,815,538,815,538,0,504371.9594766237,0.0,286.5428961420397,8.221440045389713,9.563541743773385e-05,-0.16139344309635817,0.31813314267730675,10.216054939047787,7-11-26_R_Aql_-013120s_c.new
